frame,timestamp
1,1531818379341
frame,timestamp
2,1531818383494
frame,timestamp
3,1531818387324
frame,timestamp
4,1531818391449
frame,timestamp
5,1531818395506
frame,timestamp
6,1531818399536
frame,timestamp
7,1531818403725
frame,timestamp
8,1531818407729
frame,timestamp
9,1531818411752
frame,timestamp
10,1531818415873
frame,timestamp
11,1531818419870
frame,timestamp
12,1531818424236
frame,timestamp
13,1531818428299
frame,timestamp
14,1531818432596
frame,timestamp
15,1531818436494
frame,timestamp
16,1531818440740
frame,timestamp
17,1531818444692
frame,timestamp
18,1531818448842
frame,timestamp
19,1531818453115
frame,timestamp
20,1531818457261
frame,timestamp
21,1531818461176
frame,timestamp
22,1531818465289
frame,timestamp
23,1531818469400
frame,timestamp
24,1531818473276
frame,timestamp
25,1531818477339
frame,timestamp
26,1531818481387
frame,timestamp
27,1531818485365
frame,timestamp
28,1531818489443
frame,timestamp
29,1531818493433
frame,timestamp
30,1531818497720
frame,timestamp
31,1531818501742
frame,timestamp
32,1531818505789
frame,timestamp
33,1531818509944
frame,timestamp
34,1531818514891
frame,timestamp
35,1531818521922
frame,timestamp
36,1531818522021
frame,timestamp
37,1531818525600
frame,timestamp
38,1531818529948
frame,timestamp
39,1531818534035
frame,timestamp
40,1531818538022
frame,timestamp
41,1531818542199
frame,timestamp
42,1531818546163
frame,timestamp
43,1531818550138
frame,timestamp
44,1531818554295
frame,timestamp
45,1531818558397
frame,timestamp
46,1531818562334
frame,timestamp
47,1531818566550
frame,timestamp
48,1531818570496
frame,timestamp
49,1531818574702
frame,timestamp
50,1531818578718
frame,timestamp
51,1531818583172
frame,timestamp
52,1531818586968
frame,timestamp
53,1531818590862
frame,timestamp
54,1531818594752
frame,timestamp
55,1531818598628
frame,timestamp
56,1531818602562
frame,timestamp
57,1531818606606
frame,timestamp
58,1531818610724
frame,timestamp
59,1531818614649
frame,timestamp
60,1531818618664
frame,timestamp
61,1531818622692
frame,timestamp
62,1531818626660
frame,timestamp
63,1531818630699
frame,timestamp
64,1531818634602
frame,timestamp
65,1531818640482
frame,timestamp
66,1531818642660
frame,timestamp
67,1531818646591
frame,timestamp
68,1531818650832
frame,timestamp
69,1531818654573
frame,timestamp
70,1531818658612
frame,timestamp
71,1531818662665
frame,timestamp
72,1531818666626
frame,timestamp
73,1531818670574
frame,timestamp
74,1531818674594
frame,timestamp
75,1531818678677
frame,timestamp
76,1531818682713
frame,timestamp
77,1531818686888
frame,timestamp
78,1531818691149
frame,timestamp
79,1531818695251
frame,timestamp
80,1531818699522
frame,timestamp
81,1531818703818
frame,timestamp
82,1531818707485
frame,timestamp
83,1531818711651
frame,timestamp
84,1531818715722
frame,timestamp
85,1531818719759
frame,timestamp
86,1531818723800
frame,timestamp
87,1531818727924
frame,timestamp
88,1531818732000
frame,timestamp
89,1531818736059
frame,timestamp
90,1531818740126
frame,timestamp
91,1531818744232
frame,timestamp
92,1531818748278
frame,timestamp
93,1531818752328
frame,timestamp
94,1531818756558
frame,timestamp
95,1531818760984
frame,timestamp
96,1531818764495
frame,timestamp
97,1531818768928
frame,timestamp
98,1531818772439
frame,timestamp
99,1531818776300
frame,timestamp
100,1531818780484
frame,timestamp
101,1531818786289
frame,timestamp
102,1531818788702
frame,timestamp
103,1531818792789
frame,timestamp
104,1531818797111
frame,timestamp
105,1531818801188
frame,timestamp
106,1531818805308
frame,timestamp
107,1531818809062
frame,timestamp
108,1531818812979
frame,timestamp
109,1531818817064
frame,timestamp
110,1531818821227
frame,timestamp
111,1531818825251
frame,timestamp
112,1531818829469
frame,timestamp
113,1531818833309
frame,timestamp
114,1531818836997
frame,timestamp
115,1531818841040
frame,timestamp
116,1531818845088
frame,timestamp
117,1531818849792
frame,timestamp
118,1531818853065
frame,timestamp
119,1531818857267
frame,timestamp
120,1531818861313
frame,timestamp
121,1531818865317
frame,timestamp
122,1531818869410
frame,timestamp
123,1531818873462
frame,timestamp
124,1531818877548
frame,timestamp
125,1531818881605
frame,timestamp
126,1531818885498
frame,timestamp
127,1531818889396
frame,timestamp
128,1531818893387
frame,timestamp
129,1531818897456
frame,timestamp
130,1531818901403
frame,timestamp
131,1531818905528
frame,timestamp
132,1531818909584
frame,timestamp
133,1531818913222
frame,timestamp
134,1531818917234
frame,timestamp
135,1531818921247
frame,timestamp
136,1531818925286
frame,timestamp
137,1531818929384
frame,timestamp
138,1531818933707
frame,timestamp
139,1531818937457
frame,timestamp
140,1531818941461
frame,timestamp
141,1531818945359
frame,timestamp
142,1531818949413
frame,timestamp
143,1531818953403
frame,timestamp
144,1531818957544
frame,timestamp
145,1531818961589
frame,timestamp
146,1531818965512
frame,timestamp
147,1531818970204
frame,timestamp
148,1531818973616
frame,timestamp
149,1531818977395
frame,timestamp
150,1531818981472
frame,timestamp
151,1531818985495
frame,timestamp
152,1531818989361
frame,timestamp
153,1531818993407
frame,timestamp
154,1531818997418
frame,timestamp
155,1531819001427
frame,timestamp
156,1531819005516
frame,timestamp
157,1531819009487
frame,timestamp
158,1531819014217
frame,timestamp
159,1531819017608
frame,timestamp
160,1531819021695
frame,timestamp
161,1531819025683
frame,timestamp
162,1531819029663
frame,timestamp
163,1531819033763
frame,timestamp
164,1531819037660
frame,timestamp
165,1531819041594
frame,timestamp
166,1531819045732
frame,timestamp
167,1531819049685
frame,timestamp
168,1531819053547
frame,timestamp
169,1531819057725
frame,timestamp
170,1531819061775
frame,timestamp
171,1531819065486
frame,timestamp
172,1531819069381
frame,timestamp
173,1531819073330
frame,timestamp
174,1531819077279
frame,timestamp
175,1531819081364
frame,timestamp
176,1531819085505
frame,timestamp
177,1531819089403
frame,timestamp
178,1531819093453
frame,timestamp
179,1531819097465
frame,timestamp
180,1531819101471
frame,timestamp
181,1531819105535
frame,timestamp
182,1531819109444
frame,timestamp
183,1531819113776
frame,timestamp
184,1531819117458
frame,timestamp
185,1531819121606
frame,timestamp
186,1531819125630
frame,timestamp
187,1531819129635
frame,timestamp
188,1531819133551
frame,timestamp
189,1531819138795
frame,timestamp
190,1531819141765
frame,timestamp
191,1531819147982
frame,timestamp
192,1531819149878
frame,timestamp
193,1531819153775
frame,timestamp
194,1531819157700
frame,timestamp
195,1531819161733
frame,timestamp
196,1531819165689
frame,timestamp
197,1531819169828
frame,timestamp
198,1531819173719
frame,timestamp
199,1531819177675
frame,timestamp
200,1531819181733
frame,timestamp
201,1531819185749
frame,timestamp
202,1531819189798
frame,timestamp
203,1531819193621
frame,timestamp
204,1531819197618
frame,timestamp
205,1531819201535
frame,timestamp
206,1531819205614
frame,timestamp
207,1531819209616
frame,timestamp
208,1531819215296
frame,timestamp
209,1531819217582
frame,timestamp
210,1531819221706
frame,timestamp
211,1531819225662
frame,timestamp
212,1531819229619
frame,timestamp
213,1531819233549
frame,timestamp
214,1531819237559
frame,timestamp
215,1531819241479
frame,timestamp
216,1531819245463
frame,timestamp
217,1531819249475
frame,timestamp
218,1531819253691
frame,timestamp
219,1531819257316
frame,timestamp
220,1531819261411
frame,timestamp
221,1531819265377
frame,timestamp
222,1531819269230
frame,timestamp
223,1531819273106
frame,timestamp
224,1531819277045
frame,timestamp
225,1531819281013
frame,timestamp
226,1531819285024
frame,timestamp
227,1531819288834
frame,timestamp
228,1531819292741
frame,timestamp
229,1531819296825
frame,timestamp
230,1531819300944
frame,timestamp
231,1531819304662
frame,timestamp
232,1531819308731
frame,timestamp
233,1531819312801
frame,timestamp
234,1531819316751
frame,timestamp
235,1531819320894
frame,timestamp
236,1531819324917
frame,timestamp
237,1531819328981
frame,timestamp
238,1531819333010
frame,timestamp
239,1531819339971
frame,timestamp
240,1531819340964
frame,timestamp
241,1531819345155
frame,timestamp
242,1531819349015
frame,timestamp
243,1531819353073
frame,timestamp
244,1531819357111
frame,timestamp
245,1531819360938
frame,timestamp
246,1531819364833
frame,timestamp
247,1531819368862
frame,timestamp
248,1531819372751
frame,timestamp
249,1531819376739
frame,timestamp
250,1531819380808
frame,timestamp
251,1531819384626
frame,timestamp
252,1531819388683
frame,timestamp
253,1531819392844
frame,timestamp
254,1531819396576
frame,timestamp
255,1531819400763
frame,timestamp
256,1531819404802
frame,timestamp
257,1531819409160
frame,timestamp
258,1531819413172
frame,timestamp
259,1531819417203
frame,timestamp
260,1531819421240
frame,timestamp
261,1531819425155
frame,timestamp
262,1531819429152
frame,timestamp
263,1531819433649
frame,timestamp
264,1531819437202
frame,timestamp
265,1531819441208
frame,timestamp
266,1531819445167
frame,timestamp
267,1531819449137
frame,timestamp
268,1531819453096
frame,timestamp
269,1531819457170
frame,timestamp
270,1531819461229
frame,timestamp
271,1531819465299
frame,timestamp
272,1531819469451
frame,timestamp
273,1531819473443
frame,timestamp
274,1531819477421
frame,timestamp
275,1531819481492
frame,timestamp
276,1531819485464
frame,timestamp
277,1531819489647
frame,timestamp
278,1531819493532
frame,timestamp
279,1531819497402
frame,timestamp
280,1531819501483
frame,timestamp
281,1531819505590
frame,timestamp
282,1531819509548
frame,timestamp
283,1531819513512
frame,timestamp
284,1531819517529
frame,timestamp
285,1531819521426
frame,timestamp
286,1531819525357
frame,timestamp
287,1531819529304
frame,timestamp
288,1531819533221
frame,timestamp
289,1531819537139
frame,timestamp
290,1531819541204
frame,timestamp
291,1531819545108
frame,timestamp
292,1531819548935
frame,timestamp
293,1531819552940
frame,timestamp
294,1531819556750
frame,timestamp
295,1531819560747
frame,timestamp
296,1531819564717
frame,timestamp
297,1531819568613
frame,timestamp
298,1531819572510
frame,timestamp
299,1531819576449
frame,timestamp
300,1531819580415
frame,timestamp
301,1531819584531
frame,timestamp
302,1531819588518
frame,timestamp
303,1531819592525
frame,timestamp
304,1531819596877
frame,timestamp
305,1531819600591
frame,timestamp
306,1531819604695
frame,timestamp
307,1531819608877
frame,timestamp
308,1531819612606
frame,timestamp
309,1531819616542
frame,timestamp
310,1531819620468
frame,timestamp
311,1531819624331
frame,timestamp
312,1531819628197
frame,timestamp
313,1531819632250
frame,timestamp
314,1531819636149
frame,timestamp
315,1531819640134
frame,timestamp
316,1531819644021
frame,timestamp
317,1531819648039
frame,timestamp
318,1531819651906
frame,timestamp
319,1531819655930
frame,timestamp
320,1531819660050
frame,timestamp
321,1531819663973
frame,timestamp
322,1531819668106
frame,timestamp
323,1531819672077
frame,timestamp
324,1531819676150
frame,timestamp
325,1531819680181
frame,timestamp
326,1531819684044
frame,timestamp
327,1531819688086
frame,timestamp
328,1531819692038
frame,timestamp
329,1531819696044
frame,timestamp
330,1531819700138
frame,timestamp
331,1531819704131
frame,timestamp
332,1531819708374
frame,timestamp
333,1531819712410
frame,timestamp
334,1531819716654
frame,timestamp
335,1531819721443
frame,timestamp
336,1531819724514
frame,timestamp
337,1531819728503
frame,timestamp
338,1531819732294
frame,timestamp
339,1531819736164
frame,timestamp
340,1531819740189
frame,timestamp
341,1531819744124
frame,timestamp
342,1531819748092
frame,timestamp
343,1531819752242
frame,timestamp
344,1531819756267
frame,timestamp
345,1531819760217
frame,timestamp
346,1531819764128
frame,timestamp
347,1531819768004
frame,timestamp
348,1531819771788
frame,timestamp
349,1531819775872
frame,timestamp
350,1531819779973
frame,timestamp
351,1531819783721
frame,timestamp
352,1531819787995
frame,timestamp
353,1531819791397
frame,timestamp
354,1531819795289
frame,timestamp
355,1531819799130
frame,timestamp
356,1531819803405
frame,timestamp
357,1531819807138
frame,timestamp
358,1531819811000
frame,timestamp
359,1531819814843
frame,timestamp
360,1531819818834
frame,timestamp
361,1531819822747
frame,timestamp
362,1531819826719
frame,timestamp
363,1531819830661
frame,timestamp
364,1531819834349
frame,timestamp
365,1531819838180
